Type_of_aggregates,Design_F'c (Mpa),Curing_age_(days),Cs_(Mpa),Er_(ohm-cm),UPV_(m/s)
Rounded,25,7,16.8217,3.7566,3043.4341
Rounded,25,7,16.7502,3.6048,3041.5929
Rounded,25,7,16.8139,3.6658,3042.9575
Rounded,25,7,16.7963,3.6728,3041.3631
Rounded,25,7,16.853,3.6462,3042.7254
Rounded,25,7,16.8126,3.628,3041.2112
Rounded,25,7,16.8315,3.7259,3042.6365
Rounded,25,7,16.7882,3.6661,3041.207
Rounded,25,7,16.7855,3.5705,3042.6378
Rounded,25,7,16.8346,3.6144,3043.055
Rounded,25,7,16.7419,3.6605,3042.0352
Rounded,25,7,16.7482,3.5972,3043.0144
Rounded,25,7,16.7373,3.542,3041.8137
Rounded,25,7,16.5879,3.5709,3041.626
Rounded,25,7,16.2854,3.5926,3041.379
Rounded,25,7,16.3047,3.6049,3041.9767
Rounded,25,7,16.8149,3.5422,3042.6319
Rounded,25,7,16.5822,3.5581,3043.0084
Rounded,25,7,16.4946,3.5442,3042.2499
Rounded,25,7,16.5702,3.5735,3041.1356
Rounded,25,7,16.4053,3.5941,3043.2933
Rounded,25,7,16.4251,3.5867,3041.9701
Rounded,25,7,16.6559,3.5831,3042.1168
Rounded,25,7,16.56,3.5492,3041.537
Rounded,25,7,16.8458,3.5676,3042.8453
Rounded,25,7,16.1806,3.6093,3042.3911
Rounded,25,7,16.7416,3.5449,3043.0199
Rounded,25,7,16.7834,3.5783,3041.3757
Rounded,25,7,16.6006,3.538,3041.6905
Rounded,25,7,16.7203,3.5497,3042.3448
Rounded,25,7,16.5201,3.5742,3042.02
Rounded,25,7,16.6232,3.5676,3041.3403
Rounded,25,14,24.4377,5.8905,3200.3284
Rounded,25,14,24.4553,5.8905,3200.8462
Rounded,25,14,24.9428,5.8905,3248.9193
Rounded,25,14,24.5578,5.8905,3212.9842
Rounded,25,14,24.8212,5.8905,3196.1812
Rounded,25,14,24.7348,5.8905,3217.0949
Rounded,25,14,24.6646,5.8905,3251.0908
Rounded,25,14,24.4427,5.8905,3208.29
Rounded,25,14,24.7377,5.8905,3194.2884
Rounded,25,14,24.4201,5.8905,3232.8626
Rounded,25,14,24.803,5.8905,3209.5242
Rounded,25,14,24.5785,5.8905,3226.821
Rounded,25,14,24.598,5.8905,3238.0274
Rounded,25,14,24.6695,5.8905,3203.7825
Rounded,25,14,24.5802,5.8905,3248.7658
Rounded,25,14,24.5979,5.8905,3219.2278
Rounded,25,14,24.8723,5.8905,3197.0328
Rounded,25,14,24.9005,5.8905,3217.3543
Rounded,25,14,24.4111,5.8905,3244.0571
Rounded,25,14,24.8763,5.8905,3196.9111
Rounded,25,14,24.3067,5.8905,3242.2086
Rounded,25,14,22.6237,5.8905,3190.3774
Rounded,25,14,21.6027,5.8905,3163.7337
Rounded,25,14,22.2799,5.8905,3168.412
Rounded,25,14,23.8042,5.8905,3161.1376
Rounded,25,14,23.2359,5.8905,3213.8373
Rounded,25,14,22.9436,5.8905,3243.7646
Rounded,25,14,21.285,5.8905,3126.4975
Rounded,25,14,23.9126,5.8905,3092.971
Rounded,25,14,21.6866,5.8905,3140.2009
Rounded,25,14,22.3576,5.8905,3111.0384
Rounded,25,14,23.2125,5.8905,3206.3951
Rounded,25,14,23.8027,5.8905,3237.229
Rounded,25,14,23.047,5.8905,3172.4394
Rounded,25,14,22.8758,5.8905,3188.9708
Rounded,25,14,24.0265,5.8905,3201.6312
Rounded,25,14,22.5336,5.8905,3225.7392
Rounded,25,14,23.6904,5.8905,3141.9646
Rounded,25,14,23.1859,5.8905,3188.7919
Rounded,25,14,22.5543,5.8905,3191.3133
Rounded,25,14,21.258,6.1016,3361.9792
Rounded,25,14,21.2628,6.3879,3244.3271
Rounded,25,14,21.3036,6.4995,3282.7574
Rounded,25,14,21.2597,6.3978,3100.3051
Rounded,25,14,21.3295,6.3983,3096.9454
Rounded,25,14,21.3493,6.1181,3166.2655
Rounded,25,14,21.3177,6.5098,3384.692
Rounded,25,14,21.2695,6.1188,3432.3201
Rounded,25,14,21.2995,6.6448,3394.1008
Rounded,25,14,21.24,6.2212,3072.1394
Rounded,25,14,21.3397,6.2415,3102.4342
Rounded,25,14,21.3364,6.1695,3522.3285
Rounded,25,14,21.3287,6.1075,3443.3042
Rounded,25,14,21.2591,6.6386,3455.7013
Rounded,25,14,21.3008,6.1382,3163.4296
Rounded,25,14,21.2294,6.0932,3519.0825
Rounded,25,14,21.2797,5.9283,3233.7733
Rounded,25,14,21.2656,6.1223,3359.9091
Rounded,25,14,21.2467,5.9799,3457.1515
Rounded,25,14,21.2489,6.4756,3246.0324
Rounded,25,14,21.9587,6.5724,3257.6139
Rounded,25,14,21.4867,6.3455,3281.8636
Rounded,25,14,22.2109,6.3775,3398.9283
Rounded,25,14,22.0276,6.5756,3133.8884
Rounded,25,14,22.3508,6.4041,3311.1785
Rounded,25,14,22.3564,6.6383,3339.849
Rounded,25,14,22.2683,6.3945,3151.8738
Rounded,25,14,21.3997,6.4231,3353.939
Rounded,25,14,21.4502,6.3285,3491.6967
Rounded,25,14,21.8103,6.5318,3408.8845
Rounded,25,14,22.1137,6.6112,3259.3468
Rounded,25,14,22.2912,6.6055,3476.0476
Rounded,25,14,21.9367,6.5032,3257.646
Rounded,25,14,22.5289,6.5438,3459.719
Rounded,25,14,22.3829,6.5487,3170.3829
Rounded,25,14,22.7423,6.6377,3233.1384
Rounded,25,14,22.1144,6.4738,3173.1893
Rounded,25,14,21.8183,6.6583,3444.7432
Rounded,25,14,21.5031,6.4738,3435.4491
Rounded,25,14,22.2287,6.661,3083.5745
Rounded,25,14,23.0304,6.1336,3175.4305
Rounded,25,14,22.9195,6.0538,3454.366
Rounded,25,14,22.8157,5.9157,3338.7587
Rounded,25,14,22.8705,6.2765,3085.0422
Rounded,25,14,22.8353,6.1604,3441.485
Rounded,25,14,22.8751,6.0244,3389.9631
Rounded,25,14,22.9247,6.1531,3318.0849
Rounded,25,14,22.9519,6.1497,3057.9589
Rounded,25,14,22.9301,5.9746,3422.5422
Rounded,25,14,23.0606,6.1937,3494.6186
Rounded,25,14,22.9491,6.2585,3410.958
Rounded,25,14,23.0819,5.9154,3207.0435
Rounded,25,14,22.9864,6.2602,3393.3917
Rounded,25,14,23.0863,6.2598,3510.3544
Rounded,25,14,22.8625,6.0782,3142.2823
Rounded,25,14,22.9984,5.9,3138.3229
Rounded,25,14,22.8776,6.2646,3260.3852
Rounded,25,14,22.9971,6.1055,3065.7672
Rounded,25,14,23.0043,5.9721,3201.3658
Rounded,25,14,22.8086,5.9555,3203.2688
Rounded,25,14,22.7973,5.9977,3518.8295
Rounded,25,14,22.8337,6.1331,3517.4453
Rounded,25,14,22.3073,6.421,3519.6358
Rounded,25,14,22.0979,6.1225,3517.6237
Rounded,25,14,22.6909,6.2368,3521.9804
Rounded,25,14,22.1737,6.0827,3518.1134
Rounded,25,14,22.2984,6.0528,3520.2839
Rounded,25,14,23.0915,6.1021,3515.3603
Rounded,25,14,22.3852,6.2622,3516.533
Rounded,25,14,22.6407,6.152,3520.1703
Rounded,25,14,22.013,6.2806,3520.3217
Rounded,25,14,23.0981,6.1737,3522.138
Rounded,25,14,22.5509,6.1176,3514.5226
Rounded,25,14,22.5961,6.1112,3521.0225
Rounded,25,14,22.5528,6.454,3519.1496
Rounded,25,14,22.1859,5.9862,3517.1654
Rounded,25,14,22.717,6.1721,3520.9971
Rounded,25,14,22.1686,6.4596,3516.3982
Rounded,25,14,22.5404,6.4369,3514.784
Rounded,25,14,23.0571,5.8984,3518.9649
Rounded,25,14,21.9023,6.46,3462.0677
Rounded,25,14,21.8682,6.0504,3502.3892
Rounded,25,14,21.8837,6.4279,3490.8692
Rounded,25,14,21.9038,5.6387,3476.8112
Rounded,25,14,21.892,5.672,3444.1636
Rounded,25,14,21.8754,6.0082,3447.8641
Rounded,25,14,21.9013,5.839,3458.3581
Rounded,25,14,21.8672,6.2285,3506.1198
Rounded,25,14,21.8981,5.8159,3478.4618
Rounded,25,14,21.856,6.2182,3504.1557
Rounded,25,14,21.8965,5.6358,3467.456
Rounded,25,14,21.8655,6.0507,3453.0754
Rounded,25,14,21.9015,5.5968,3481.9081
Rounded,25,14,21.8954,5.5798,3483.8475
Rounded,25,14,21.9076,5.601,3513.9687
Rounded,25,14,21.8773,5.9708,3455.3213
Rounded,25,14,21.8706,5.8655,3467.992
Rounded,25,14,21.8792,6.3724,3516.3885
Rounded,25,14,21.8867,6.4656,3505.5939
Rounded,25,14,21.8731,5.9952,3463.7349
Rounded,25,14,23.9937,5.816,3454.3442
Rounded,25,14,24.0976,6.2808,3463.5852
Rounded,25,14,23.9546,6.2832,3505.2857
Rounded,25,14,24.9783,5.7309,3498.559
Rounded,25,14,22.5422,5.8973,3477.3818
Rounded,25,14,24.1978,6.1614,3447.2118
Rounded,25,14,22.6325,5.951,3476.1678
Rounded,25,14,22.2459,5.9015,3486.0564
Rounded,25,14,23.8604,5.5185,3477.5107
Rounded,25,14,23.3403,5.5081,3501.4896
Rounded,25,14,23.3687,6.027,3445.5497
Rounded,25,14,24.0411,6.1686,3463.7971
Rounded,25,14,24.3996,6.171,3442.5883
Rounded,25,14,23.0097,6.0923,3501.5825
Rounded,25,14,24.0414,5.6794,3508.2284
Rounded,25,14,23.2279,5.9091,3510.1825
Rounded,25,14,24.6367,5.9032,3464.6728
Rounded,25,14,24.6069,5.9883,3498.5593
Rounded,25,14,22.6994,5.8942,3488.2609
Rounded,25,14,23.8807,5.7448,3488.7772
Rounded,25,14,23.8148,6.2832,3488.6485
Rounded,25,14,23.9106,6.2832,3345.3232
Rounded,25,14,23.1502,6.2832,3360.6261
Rounded,25,14,24.5481,6.2832,3469.4793
Rounded,25,14,24.425,6.2832,3486.6224
Rounded,25,14,24.8843,6.2832,3364.8113
Rounded,25,14,22.9888,6.2832,3344.7604
Rounded,25,14,23.6685,6.2832,3387.9679
Rounded,25,14,24.0522,6.2832,3448.8325
Rounded,25,14,23.6829,6.2832,3351.1902
Rounded,25,14,23.9015,6.2832,3407.3864
Rounded,25,14,23.6645,6.2832,3473.701
Rounded,25,14,23.9034,6.2832,3467.7339
Rounded,25,14,23.4941,6.2832,3506.7152
Rounded,25,14,23.9528,6.2832,3445.4839
Rounded,25,14,22.8643,6.2832,3390.9764
Rounded,25,14,24.6546,6.2832,3376.9723
Rounded,25,14,24.9153,6.2832,3498.8762
Rounded,25,14,24.9063,6.2832,3482.7565
Rounded,25,14,25.0128,6.2832,3353.3069
Rounded,25,28,24.894,6.2282,3421.4733
Rounded,25,28,24.8991,6.2217,3419.6426
Rounded,25,28,24.8896,5.9446,3255.5187
Rounded,25,28,24.9353,6.2056,3345.8588
Rounded,25,28,24.9197,5.9059,3399.3783
Rounded,25,28,24.9362,6.1402,3382.2483
Rounded,25,28,24.9547,6.2814,3241.2466
Rounded,25,28,24.9593,5.9472,3311.0466
Rounded,25,28,24.8696,5.9503,3430.411
Rounded,25,28,24.8635,6.0709,3344.4392
Rounded,25,28,24.9275,6.0964,3277.7637
Rounded,25,28,24.8583,6.2498,3440.1634
Rounded,25,28,24.9079,6.1341,3263.6054
Rounded,25,28,24.9085,6.0776,3243.7978
Rounded,25,28,24.9465,5.9019,3307.4762
Rounded,25,28,24.9033,6.1109,3368.6031
Rounded,25,28,24.8928,5.9643,3207.7252
Rounded,25,28,24.9247,5.9313,3192.2811
Rounded,25,28,24.9327,5.9572,3321.0217
Rounded,25,28,24.9073,6.0908,3416.8604
Rounded,25,28,24.9624,5.8905,3451.7973
Rounded,25,28,24.9624,5.8905,3475.3725
Rounded,25,28,24.9624,5.8905,3478.4539
Rounded,25,28,24.9624,5.8905,3451.2312
Rounded,25,28,24.9624,5.8905,3459.5508
Rounded,25,28,24.9624,5.8905,3454.0211
Rounded,25,28,24.9624,5.8905,3478.5079
Rounded,25,28,24.9624,5.8905,3465.4483
Rounded,25,28,24.9624,5.8905,3473.2027
Rounded,25,28,24.9624,5.8905,3466.2145
Rounded,25,28,24.9624,5.8905,3458.5764
Rounded,25,28,24.9624,5.8905,3470.6197
Rounded,25,28,24.9624,5.8905,3470.8762
Rounded,25,28,24.9624,5.8905,3475.6647
Rounded,25,28,24.9624,5.8905,3471.0301
Rounded,25,28,24.9624,5.8905,3473.0285
Rounded,25,28,24.9624,5.8905,3453.8724
Rounded,25,28,24.9624,5.8905,3482.696
Rounded,25,28,24.9624,5.8905,3471.8241
Rounded,25,28,24.9624,5.8905,3456.4786
Rounded,25,28,24.7654,5.5564,3457.7371
Rounded,25,28,24.8594,5.7156,3363.4858
Rounded,25,28,24.7496,5.6104,3393.9329
Rounded,25,28,24.8687,5.5416,3425.9739
Rounded,25,28,24.7781,5.6426,3403.6611
Rounded,25,28,24.8673,5.503,3456.5257
Rounded,25,28,24.7686,5.8222,3366.0228
Rounded,25,28,24.7814,5.6438,3452.4067
Rounded,25,28,24.872,5.6216,3361.7101
Rounded,25,28,24.9107,5.8247,3380.2789
Rounded,25,28,24.773,5.832,3412.0863
Rounded,25,28,24.7349,5.8346,3388.5402
Rounded,25,28,24.8839,5.8541,3449.6158
Rounded,25,28,24.8015,5.5303,3453.524
Rounded,25,28,24.8573,5.5554,3474.6483
Rounded,25,28,24.7626,5.7503,3406.2344
Rounded,25,28,24.7781,5.8543,3403.3629
Rounded,25,28,24.9223,5.76,3449.2975
Rounded,25,28,24.7558,5.864,3435.3259
Rounded,25,28,24.7251,5.8559,3409.392
Rounded,25,28,26.1564,5.4978,3327.3121
Rounded,25,28,27.1871,5.4978,3219.2234
Rounded,25,28,26.3615,5.4978,3225.33
Rounded,25,28,25.154,5.4978,3207.8791
Rounded,25,28,25.2797,5.4978,3182.5772
Rounded,25,28,25.8569,5.4978,3307.4836
Rounded,25,28,26.8093,5.4978,3223.5122
Rounded,25,28,27.0235,5.4978,3314.8579
Rounded,25,28,26.9243,5.4978,3198.501
Rounded,25,28,25.6104,5.4978,3297.4751
Rounded,25,28,26.2111,5.4978,3238.7034
Rounded,25,28,24.9734,5.4978,3263.7443
Rounded,25,28,25.034,5.4978,3262.5346
Rounded,25,28,25.1025,5.4978,3160.7859
Rounded,25,28,26.6141,5.4978,3081.0069
Rounded,25,28,26.1027,5.4978,3321.5181
Rounded,25,28,25.2514,5.4978,3076.9427
Rounded,25,28,26.1022,5.4978,3135.2102
Rounded,25,28,25.1341,5.4978,3263.4193
Rounded,25,28,24.8759,5.4978,3333.8196
Rounded,25,28,27.943,5.4528,3306.1918
Rounded,25,28,27.7952,5.409,3018.4985
Rounded,25,28,27.9832,5.4571,3048.1718
Rounded,25,28,27.8645,5.4768,3402.9954
Rounded,25,28,27.8065,5.4809,3235.5068
Rounded,25,28,27.925,5.3028,3009.0556
Rounded,25,28,27.9574,5.4112,3332.0616
Rounded,25,28,28.0134,5.4479,3008.4401
Rounded,25,28,27.5099,5.3546,3401.4004
Rounded,25,28,27.9505,5.422,3308.164
Rounded,25,28,27.8217,5.3823,3202.5467
Rounded,25,28,28.0139,5.3451,3055.5881
Rounded,25,28,27.7784,5.3581,3307.0726
Rounded,25,28,27.7539,5.3118,3419.2443
Rounded,25,28,27.9179,5.3486,3037.9511
Rounded,25,28,27.6257,5.4635,3376.3324
Rounded,25,28,27.7634,5.3995,3093.2613
Rounded,25,28,27.9686,5.4393,3344.8701
Rounded,25,28,27.8024,5.3284,3321.303
Rounded,25,28,27.9402,5.3676,3085.6066
Rounded,25,28,26.8902,5.3014,3475.5912
Rounded,25,28,27.1235,5.3014,3480.2003
Rounded,25,28,27.642,5.3014,3471.1974
Rounded,25,28,27.0006,5.3014,3496.6293
Rounded,25,28,27.8915,5.3014,3461.282
Rounded,25,28,27.0624,5.3014,3489.2341
Rounded,25,28,27.0089,5.3014,3503.4425
Rounded,25,28,26.9038,5.3014,3471.3399
Rounded,25,28,26.6577,5.3014,3492.4924
Rounded,25,28,26.5178,5.3014,3465.2862
Rounded,25,28,26.8437,5.3014,3451.6831
Rounded,25,28,27.1304,5.3014,3464.5184
Rounded,25,28,26.6003,5.3014,3475.4734
Rounded,25,28,27.1325,5.3014,3454.0626
Rounded,25,28,27.9931,5.3014,3463.5203
Rounded,25,28,27.8344,5.3014,3478.7985
Rounded,25,28,26.7006,5.3014,3473.3118
Rounded,25,28,27.2789,5.3014,3454.1913
Rounded,25,28,26.7279,5.3014,3505.3174
Rounded,25,28,27.699,5.3014,3500.3415
Rounded,25,28,26.6866,5.1126,3440.4924
